Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,extra_yn,study_efficiency,practice_ratio,study_sleep_ratio,conditioned_study,focus_index,growth_potential,effort_result_ratio,learning_engagement,balance_score,prediction
7,99,Yes,9,1,1,14.142857142857142,0.14285714285714285,0.7777777777777778,18.71497387511852,3.5,0.0707070707070707,12.375,7.5,2.25,65.818344
8,51,Yes,7,2,1,6.375,0.25,1.1428571428571428,15.380572041353537,4.0,0.1568627450980392,5.1,9.5,1.5555555555555556,59.99119
8,91,No,4,5,0,11.375,0.625,2.0,8.788898309344878,8.0,0.08791208791208792,7.0,13.0,0.4444444444444444,61.891872
5,79,No,7,8,0,15.8,1.6,0.7142857142857143,12.542316284596385,5.0,0.06329113924050633,6.076923076923077,13.0,1.1666666666666667,56.468548
2,72,No,4,3,0,36.0,1.5,0.5,4.394449154672438,2.0,0.027777777777777776,14.4,5.0,1.3333333333333333,43.229313
2,54,Yes,4,9,1,27.0,4.5,0.5,4.394449154672438,1.0,0.037037037037037035,4.909090909090909,10.5,2.6666666666666665,41.967094
1,99,Yes,4,3,1,99.0,3.0,0.25,2.772588722239781,0.5,0.010101010101010102,24.75,3.5,4.0,102.407814
1,85,No,5,6,0,85.0,6.0,0.2,3.4657359027997265,1.0,0.011764705882352941,12.142857142857142,7.0,2.5,71.44689
3,61,No,6,3,0,20.333333333333332,1.0,0.5,8.317766166719343,3.0,0.04918032786885246,10.166666666666666,6.0,1.5,39.197823
9,84,Yes,6,6,1,9.333333333333334,0.6666666666666666,1.5,13.815510557964275,4.5,0.10714285714285714,5.6,14.5,1.2,69.54669
5,90,Yes,4,3,1,18.0,0.6,1.25,7.16703787691222,2.5,0.05555555555555555,11.25,7.5,1.3333333333333333,58.556087
3,61,Yes,7,3,1,20.333333333333332,1.0,0.42857142857142855,9.704060527839234,1.5,0.04918032786885246,10.166666666666666,5.5,3.5,44.17561
7,44,Yes,9,1,1,6.285714285714286,0.14285714285714285,0.7777777777777778,18.71497387511852,3.5,0.1590909090909091,5.5,7.5,2.25,57.06638
2,55,Yes,4,1,1,27.5,0.5,0.5,4.394449154672438,1.0,0.03636363636363636,18.333333333333332,2.5,2.6666666666666665,46.307762
2,63,Yes,6,0,1,31.5,0.0,0.3333333333333333,6.591673732008657,1.0,0.031746031746031744,31.5,1.5,4.0,44.755684
