Hours Studied,Sleep Hours,Sample Question Papers Practiced,extra_yn,study_efficiency,practice_ratio,conditioned_study,focus_index,learning_engagement,balance_score,Performance Index
6,7,2,0,12.166666666666666,0.3333333333333333,13.621371043387192,6.0,8.0,1.0,58.0
1,7,2,1,89.0,2.0,4.852030263919617,0.5,2.5,7.0,64.0
3,8,0,1,32.333333333333336,0.0,11.090354888959125,1.5,2.5,4.0,75.0
8,5,5,0,8.75,0.625,10.986122886681098,8.0,13.0,0.5555555555555556,59.0
7,7,4,1,13.428571428571429,0.5714285714285714,14.55609079175885,3.5,10.5,1.75,86.0
4,9,5,0,13.25,1.25,14.484941211906902,4.0,9.0,1.8,34.0
8,8,7,0,6.25,0.875,17.577796618689757,8.0,15.0,0.8888888888888888,46.0
5,8,4,1,18.6,0.8,14.33407575382444,2.5,8.5,2.6666666666666665,80.0
4,6,8,1,14.75,2.0,9.656627474604601,2.0,11.5,2.4,41.0
6,6,2,1,7.5,0.3333333333333333,11.675460894331879,3.0,7.5,1.7142857142857142,34.0
7,7,1,0,6.285714285714286,0.14285714285714285,14.55609079175885,7.0,8.0,0.875,37.0
1,9,0,0,91.0,0.0,6.238324625039508,1.0,1.0,4.5,68.0
8,7,1,0,11.625,0.125,15.380572041353537,8.0,9.0,0.7777777777777778,89.0
1,9,8,1,57.0,8.0,6.238324625039508,0.5,8.5,9.0,37.0
8,8,5,0,8.875,0.625,17.577796618689757,8.0,13.0,0.8888888888888888,62.0
1,8,8,0,52.0,8.0,5.545177444479562,1.0,9.0,4.0,25.0
9,5,4,1,5.333333333333333,0.4444444444444444,11.51292546497023,4.5,12.5,1.0,47.0
2,4,7,0,48.0,3.5,4.394449154672439,2.0,9.0,1.3333333333333333,75.0
2,8,2,0,33.5,1.0,8.788898309344878,2.0,4.0,2.6666666666666665,44.0
7,8,1,1,6.714285714285714,0.14285714285714285,16.635532333438686,3.5,7.5,2.0,39.0
5,4,8,1,10.8,1.6,7.16703787691222,2.5,12.5,1.3333333333333333,37.0
7,5,1,0,11.285714285714286,0.14285714285714285,10.39720770839918,7.0,8.0,0.625,67.0
2,7,8,0,31.5,4.0,7.690286020676768,2.0,10.0,2.3333333333333335,42.0
8,7,0,0,9.75,0.0,15.380572041353537,8.0,8.0,0.7777777777777778,72.0
1,7,5,1,77.0,5.0,4.852030263919617,0.5,5.5,7.0,53.0
9,8,2,0,8.444444444444445,0.2222222222222222,18.420680743952367,9.0,11.0,0.8,77.0
7,8,4,1,9.571428571428571,0.5714285714285714,16.635532333438686,3.5,10.5,2.0,62.0
2,9,6,1,27.0,3.0,9.887510598012987,1.0,7.5,6.0,32.0
3,6,9,1,15.666666666666666,3.0,8.317766166719343,1.5,11.5,3.0,30.0
1,6,9,1,70.0,9.0,4.1588830833596715,0.5,9.5,6.0,47.0
1,8,0,1,76.0,0.0,5.545177444479562,0.5,0.5,8.0,50.0
3,5,9,1,29.0,3.0,6.931471805599453,1.5,11.5,2.5,71.0
8,4,7,1,7.125,0.875,8.788898309344878,4.0,14.5,0.8888888888888888,51.0
4,8,7,0,16.5,1.75,12.875503299472802,4.0,11.0,1.6,49.0
2,6,4,1,29.5,2.0,6.591673732008658,1.0,5.5,4.0,38.0
5,7,3,1,15.8,0.6,12.542316284596385,2.5,7.5,2.3333333333333335,65.0
3,6,4,0,32.666666666666664,1.3333333333333333,8.317766166719343,3.0,7.0,1.5,79.0
1,6,5,1,45.0,5.0,4.1588830833596715,0.5,5.5,6.0,18.0
3,5,2,1,32.666666666666664,0.6666666666666666,6.931471805599453,1.5,4.5,2.5,80.0
4,6,9,1,21.0,2.25,9.656627474604601,2.0,12.5,2.4,64.0
8,9,0,0,8.875,0.0,19.775021196025975,8.0,8.0,1.0,66.0
9,9,0,1,5.111111111111111,0.0,20.723265836946414,4.5,8.5,1.8,44.0
3,6,0,1,21.333333333333332,0.0,8.317766166719343,1.5,2.5,3.0,43.0
7,7,1,0,9.714285714285714,0.14285714285714285,14.55609079175885,7.0,8.0,0.875,57.0
7,5,0,1,6.285714285714286,0.0,10.39720770839918,3.5,6.5,1.25,32.0
1,9,0,0,86.0,0.0,6.238324625039508,1.0,1.0,4.5,59.0
1,4,0,0,80.0,0.0,2.772588722239781,1.0,1.0,2.0,55.0
9,7,0,1,7.0,0.0,16.11809565095832,4.5,8.5,1.4,58.0
7,9,3,0,10.142857142857142,0.42857142857142855,18.71497387511852,7.0,10.0,1.125,63.0
8,6,4,0,9.875,0.5,13.183347464017316,8.0,12.0,0.6666666666666666,74.0
1,4,4,1,85.0,4.0,2.772588722239781,0.5,4.5,4.0,59.0
1,4,1,1,60.0,1.0,2.772588722239781,0.5,1.5,4.0,31.0
6,9,1,0,16.166666666666668,0.16666666666666666,17.51319134149782,6.0,7.0,1.2857142857142858,86.0
9,9,1,0,8.666666666666666,0.1111111111111111,20.723265836946414,9.0,10.0,0.9,76.0
6,5,8,1,14.666666666666666,1.3333333333333333,9.729550745276565,3.0,13.5,1.4285714285714286,75.0
8,4,5,1,9.25,0.625,8.788898309344878,4.0,12.5,0.8888888888888888,67.0
8,7,7,1,8.625,0.875,15.380572041353537,4.0,14.5,1.5555555555555556,62.0
8,4,5,0,5.625,0.625,8.788898309344878,8.0,13.0,0.4444444444444444,38.0
5,8,6,0,19.4,1.2,14.33407575382444,5.0,11.0,1.3333333333333333,85.0
4,9,2,0,14.75,0.5,14.484941211906902,4.0,6.0,1.8,41.0
7,6,2,1,5.714285714285714,0.2857142857142857,12.476649250079014,3.5,8.5,1.5,33.0
3,9,8,0,13.666666666666666,2.6666666666666665,12.476649250079015,3.0,11.0,2.25,23.0
9,9,1,0,9.777777777777779,0.1111111111111111,20.723265836946414,9.0,10.0,0.9,87.0
7,6,8,1,11.142857142857142,1.1428571428571428,12.476649250079014,3.5,14.5,1.5,70.0
7,7,0,1,7.428571428571429,0.0,14.55609079175885,3.5,6.5,1.75,44.0
1,5,0,0,54.0,0.0,3.4657359027997265,1.0,1.0,2.5,27.0
1,7,7,0,62.0,7.0,4.852030263919617,1.0,8.0,3.5,41.0
7,8,7,0,11.0,1.0,16.635532333438686,7.0,14.0,1.0,68.0
6,9,2,1,8.833333333333334,0.3333333333333333,17.51319134149782,3.0,7.5,2.5714285714285716,43.0
3,9,0,0,32.666666666666664,0.0,12.476649250079015,3.0,3.0,2.25,80.0
1,7,4,0,45.0,4.0,4.852030263919617,1.0,5.0,3.5,19.0
4,6,4,0,12.25,1.0,9.656627474604601,4.0,8.0,1.2,29.0
4,4,8,0,14.5,2.0,6.437751649736401,4.0,12.0,0.8,42.0
9,7,1,1,5.444444444444445,0.1111111111111111,16.11809565095832,4.5,9.5,1.4,46.0
9,4,6,0,7.444444444444445,0.6666666666666666,9.210340371976184,9.0,15.0,0.4,63.0
3,8,8,1,23.333333333333332,2.6666666666666665,11.090354888959125,1.5,10.5,4.0,50.0
3,7,3,1,13.666666666666666,1.0,9.704060527839234,1.5,5.5,3.5,24.0
7,4,2,0,13.142857142857142,0.2857142857142857,8.317766166719343,7.0,9.0,0.5,81.0
1,6,3,0,44.0,3.0,4.1588830833596715,1.0,4.0,3.0,16.0
1,7,6,1,44.0,6.0,4.852030263919617,0.5,6.5,7.0,22.0
3,6,2,0,26.0,0.6666666666666666,8.317766166719343,3.0,5.0,1.5,54.0
8,6,4,0,9.75,0.5,13.183347464017316,8.0,12.0,0.6666666666666666,71.0
2,7,2,1,26.5,1.0,7.690286020676768,1.0,3.5,4.666666666666667,25.0
1,5,6,0,49.0,6.0,3.4657359027997265,1.0,7.0,2.5,25.0
8,6,0,0,6.5,0.0,13.183347464017316,8.0,8.0,0.6666666666666666,43.0
7,4,0,0,8.428571428571429,0.0,8.317766166719343,7.0,7.0,0.5,46.0
1,8,0,1,75.0,0.0,5.545177444479562,0.5,0.5,8.0,52.0
